student_id,name,gender,age,study_hours,maths,science,english,compSci,attendance
S001,Aarav,Female,23,3.5,52.9,56.0,69.3,100.0,100.0
S002,Aanya,Male,20,6.9,57.5,88.1,80.6,78.9,56.6
S003,Aditi,Female,21,7.7,78.7,57.8,77.7,41.6,78.2
S004,Arjun,Female,21,6.3,69.9,63.8,,72.6,87.1
S005,Bhavna,Female,18,12.9,57.1,78.6,61.8,60.7,83.4
S006,Chirag,Male,20,7.3,72.7,52.0,53.8,81.9,72.5
S007,Deepa,Female,22,6.4,66.5,71.0,66.6,58.9,77.5
S008,Dhruv,Female,20,9.5,79.5,85.0,,68.4,74.1
S009,Divya,Female,22,4.7,54.5,47.1,74.6,77.1,72.9
S010,Esha,Male,18,12.6,60.1,70.4,57.1,82.1,90.2
S011,Farhan,Female,19,3.9,59.1,71.4,74.1,53.2,84.3
S012,Gauri,Female,21,14.8,43.0,78.2,76.6,65.3,71.7
S013,Harsh,Female,18,12.3,69.4,51.9,61.4,63.4,90.8
S014,Isha,Female,21,5.4,68.9,50.8,73.8,60.9,83.7
S015,Jay,Male,23,3.1,65.1,74.8,72.7,94.7,89.8
S016,Karan,Female,19,12.8,61.5,71.9,,75.7,87.6
S017,Kavya,Male,19,11.5,43.8,71.3,76.3,52.3,70.1
S018,Kunal,Male,18,11.7,58.7,72.5,78.7,82.9,73.3
S019,Lavanya,Male,19,12.3,59.9,59.2,85.0,99.7,89.0
S020,Manav,Female,22,3.9,53.0,71.0,84.6,84.5,87.3
S021,Meera,Male,19,7.3,62.6,71.8,55.5,48.7,79.7
S022,Mihir,Female,21,4.4,71.1,,60.7,63.2,81.4
S023,Naina,Male,21,13.4,93.3,92.3,78.2,87.7,95.3
S024,Nikhil,Male,21,10.5,67.6,74.2,78.2,,72.9
S025,Nisha,Male,21,7.0,,52.5,78.2,76.2,86.6
S026,Om,Male,22,3.8,63.9,,,80.8,77.6
S027,Pooja,Male,20,6.7,36.2,55.3,78.9,57.0,77.4
S028,Pranav,Male,23,6.9,,78.2,85.6,69.2,93.2
S029,Priya,Male,18,11.8,65.9,83.1,83.4,,89.9
S030,Rahul,Male,21,10.7,100.0,57.3,79.8,,89.8
S031,Riya,Female,19,13.6,62.1,80.5,68.2,66.5,95.7
S032,Rohan,Female,21,8.7,69.5,73.4,81.1,52.5,80.3
S033,Sakshi,Male,19,4.4,64.5,78.7,62.7,92.9,88.2
S034,Sanjay,Male,23,11.6,,92.7,69.2,50.0,76.3
S035,Sara,Male,23,12.1,82.1,64.8,66.2,63.8,83.9
S036,Shiv,Female,23,9.7,76.3,58.2,73.0,71.8,78.4
S037,Shreya,Male,19,12.3,76.9,,99.8,90.2,81.2
S038,Siddharth,Female,21,8.9,51.4,57.4,49.6,49.9,87.1
S039,Simran,Female,23,9.3,86.0,67.0,80.2,,70.2
S040,Sneha,Female,22,8.1,44.0,72.4,52.6,70.1,100.0
S041,Sonal,Female,19,3.3,73.8,71.6,66.3,56.3,67.9
S042,Tanvi,Female,19,4.3,97.9,78.8,85.1,76.5,65.4
S043,Tarun,Male,21,3.4,50.1,,72.8,72.8,93.9
S044,Uma,Male,19,10.6,,86.9,59.1,61.6,89.5
S045,Varun,Male,19,6.8,66.5,64.6,63.4,71.0,87.5
S046,Vidya,Male,23,9.1,57.4,100.0,80.2,64.6,87.5
S047,Vikram,Male,21,13.9,41.7,76.1,63.2,71.6,79.9
S048,Visha,Female,23,6.0,66.0,56.9,74.6,79.3,69.2
S049,Yash,Male,23,7.9,49.1,54.1,72.5,92.2,80.9
S050,Zara,Male,21,12.1,72.1,74.3,64.2,52.7,71.9
