student_id,name,gender,age,study_hours,maths,science,english,compSci,attendance,total,average,passed,grade,strongest,gender_short,study_category,age_group,score_quartile
S001,Aarav,Female,23,3.5,52.9,56.0,69.3,100.0,100.0,278.2,69.55,True,C,compSci,F,Low,22-23,Q3
S002,Aanya,Male,20,6.9,57.5,88.1,80.6,78.9,56.6,305.1,76.28,True,B,science,M,Medium,20-21,Q4
S003,Aditi,Female,21,7.7,78.7,57.8,77.7,41.6,78.2,255.8,63.95,True,C,maths,F,Medium,20-21,Q1
S004,Arjun,Female,21,6.3,69.9,63.8,71.89565217391304,72.6,87.1,278.2,69.55,True,C,compSci,F,Medium,20-21,Q3
S005,Bhavna,Female,18,12.9,57.1,78.6,61.8,60.7,83.4,258.2,64.55,True,C,science,F,High,18-19,Q1
S006,Chirag,Male,20,7.3,72.7,52.0,53.8,81.9,72.5,260.4,65.1,True,C,compSci,M,Medium,20-21,Q1
S007,Deepa,Female,22,6.4,66.5,71.0,66.6,58.9,77.5,263.0,65.75,True,C,science,F,Medium,22-23,Q2
S008,Dhruv,Female,20,9.5,79.5,85.0,71.89565217391304,68.4,74.1,304.8,76.2,True,B,science,F,Medium,20-21,Q4
S009,Divya,Female,22,4.7,54.5,47.1,74.6,77.1,72.9,253.3,63.32,True,C,compSci,F,Low,22-23,Q1
S010,Esha,Male,18,12.6,60.1,70.4,57.1,82.1,90.2,269.7,67.42,True,C,compSci,M,High,18-19,Q2
S011,Farhan,Female,19,3.9,59.1,71.4,74.1,53.2,84.3,257.8,64.45,True,C,english,F,Low,18-19,Q1
S012,Gauri,Female,21,14.8,43.0,78.2,76.6,65.3,71.7,263.1,65.78,True,C,science,F,High,20-21,Q2
S013,Harsh,Female,18,12.3,69.4,51.9,61.4,63.4,90.8,246.1,61.53,True,C,maths,F,High,18-19,Q1
S014,Isha,Female,21,5.4,68.9,50.8,73.8,60.9,83.7,254.4,63.6,True,C,english,F,Low,20-21,Q1
S015,Jay,Male,23,3.1,65.1,74.8,72.7,94.7,89.8,307.3,76.82,True,B,compSci,M,Low,22-23,Q4
S016,Karan,Female,19,12.8,61.5,71.9,71.89565217391304,75.7,87.6,281.0,70.25,True,B,compSci,F,High,18-19,Q3
S017,Kavya,Male,19,11.5,43.8,71.3,76.3,52.3,70.1,243.7,60.92,True,C,english,M,High,18-19,Q1
S018,Kunal,Male,18,11.7,58.7,72.5,78.7,82.9,73.3,292.8,73.2,True,B,compSci,M,High,18-19,Q3
S019,Lavanya,Male,19,12.3,59.9,59.2,85.0,99.7,89.0,303.8,75.95,True,B,compSci,M,High,18-19,Q4
S020,Manav,Female,22,3.9,53.0,71.0,84.6,84.5,87.3,293.1,73.28,True,B,english,F,Low,22-23,Q3
S021,Meera,Male,19,7.3,62.6,71.8,55.5,48.7,79.7,238.6,59.65,True,C,science,M,Medium,18-19,Q1
S022,Mihir,Female,21,4.4,71.1,69.9108695652174,60.7,63.2,81.4,264.9,66.23,True,C,maths,F,Low,20-21,Q2
S023,Naina,Male,21,13.4,93.3,92.3,78.2,87.7,95.3,351.5,87.88,True,A,maths,M,High,20-21,Q4
S024,Nikhil,Male,21,10.5,67.6,74.2,78.2,70.5195652173913,72.9,290.5,72.63,True,B,english,M,High,20-21,Q3
S025,Nisha,Male,21,7.0,64.77826086956522,52.5,78.2,76.2,86.6,271.7,67.92,True,C,english,M,Medium,20-21,Q2
